# ASD-STE100 Simplified Technical English, Issue 9 (January 2025), Part 2, Dictionary.
# One line per entry, sorted by word. Fields are separated by " | ":
#
#   word (part of speech) | verdict | approved meaning | use instead
#
# The verdict is "approved" or "not approved". A dash means the field does not apply.
# For an approved word, "use instead" gives what to use for its other senses, and is a
# dash when the word carries only the one meaning. For a word that is not approved, the
# field gives the approved words to use, or the standard's guidance where it gives no
# substitute. (TN) marks a technical noun and (TV) a technical verb, which name a
# category for your own terms rather than a specific word.
#
# Look a word up with its trailing space, so the match is the entry and not a mention
# of the word somewhere else:
#
#   grep -i "^work " ste100-words.txt
unclip (v) | not approved | - | REMOVE (v) (FROM A CLIP [TN] OR CLIPS [TN])
uncoil (v) | not approved | - | UNWIND (v)
uncontaminated (adj) | not approved | - | CLEAN (adj), CONTAMINATION (n)
uncouple (v) | not approved | - | DISCONNECT (v)
uncovered (adj) | not approved | - | COVER (TN)
undamaged (adj) | not approved | - | NOT DAMAGED
UNDEMANDED (adj) | approved | that occurs without an apparent cause | -
under (prep) | not approved | - | BELOW (prep), IN (prep), LESS THAN
underneath (prep) | not approved | - | BELOW (prep)
underside (n) | not approved | - | BOTTOM (n)
undertake (v) | not approved | - | DO (v), START (v)
undo (v) | not approved | - | LOOSEN (v)
undue (adj) | not approved | - | UNWANTED (adj)
uneven (adj) | not approved | - | EQUAL (adj), ROUGH (adj)
UNFOLD (v) | approved | to open or to straighten or to cause to open or to straighten from a folded position or condition | -
uniform (adj) | not approved | - | CONSTANT (adj), EQUAL (adj)
uniformly (adv) | not approved | - | EQUALLY (adv)
unintentional (adj) | not approved | - | ACCIDENTAL (adj)
unintentionally (adv) | not approved | - | ACCIDENTALLY (adv)
UNIT (n) | approved | equipment that does a function; A quantity that is a standard of measurement | -
UNKNOWN (adj) | approved | not known | -
unlatch (v) | not approved | - | RELEASE (v), OPEN (v)
UNLESS (conj) | approved | except if | -
unload (v) | not approved | - | RELEASE (v), LOAD (TN)
UNLOCK (v) | approved | to release or become released from a locked condition | -
unnecessary (adj) | not approved | - | NOT NECESSARY
unobstructed (adj) | not approved | - | CLOGGED (adj), CLEAR (adj)
unpack (v) | not approved | - | REMOVE (v)
unpainted (adj) | not approved | - | BARE (adj)
unplug (v) | not approved | - | DISCONNECT (v), PLUG (TN)
unprotected (adj) | not approved | - | PROTECTION (n)
unreel (v) | not approved | - | UNWIND (v)
unrestricted (adj) | not approved | - | FREE (adj)
unsafe (adj) | not approved | - | DANGEROUS (adj)
UNSATISFACTORILY (adv) | approved | in an unsatisfactory manner | -
UNSATISFACTORY (adj) | approved | not satisfactory | -
unscrew (v) | not approved | - | LOOSEN (v), TURN (v), REMOVE (v)
UNSERVICEABLE (adj) | approved | not fit for its purpose | -
unstable (adj) | not approved | - | NOT STABLE
UNTIL (conj) | approved | up to the time that | -
UNTIL (prep) | approved | up to the time of | -
unused (adj) | not approved | - | NEW (adj)
UNUSUAL (adj) | approved | not usual | -
UNUSUALLY (adv) | approved | in an unusual manner | -
UNWANTED (adj) | approved | that must not be there | -
UNWIND (v) | approved | to remove or become removed from around an object | -
UP (adj) | approved | in a position above | -
UP (adv) | approved | to a position above | -
UP (prep) | approved | to a position above | -
up to (prep) | not approved | - | UNTIL (prep), THRU (prep), MAXIMUM (n)
upon (prep) | not approved | - | ON (prep), WHEN (conj)
upper (adj) | not approved | - | MAXIMUM (adj), TOP (adj)
uppermost (adj) | not approved | - | UP (adv)
uppermost (adv) | not approved | - | UP (adv)
UPSTREAM (adj) | approved | in a direction opposite to the flow | -
UPSTREAM (adv) | approved | in a direction opposite to the flow | -
UPSTREAM OF (prep) | approved | in a direction opposite to the flow | -
upward (adv) | not approved | - | UP (adv)
urgently (adv) | not approved | - | IMMEDIATELY (adv)
usage (n) | not approved | - | USE (v)
use (n) | not approved | - | OPERATION (n), USE (v)
USE (v) | approved | to make something do its specified function | -
USUAL (adj) | approved | that you use or that occurs most frequently | -
USUALLY (adv) | approved | in a usual manner | -
utilization (n) | not approved | - | USE (v)
utilize (v) | not approved | - | USE (v)
valid (adj) | not approved | - | CORRECT (adj), APPLICABLE (adj)
validity (n) | not approved | - | CORRECT (adj), APPLICABLE (adj)
VALUE (n) | approved | a quantity that is calculated or given | -
variable (adj) | not approved | - | CHANGE (v)
various (adj) | not approved | - | DIFFERENT (adj)
vary (v) | not approved | - | CHANGE (v)
vent (v) | not approved | - | RELEASE (v), FLOW (v), OPEN (adj)
ventilate (v) | not approved | - | AIRFLOW (n)
ventilation (n) | not approved | - | AIRFLOW (n)
verify (v) | not approved | - | MAKE SURE (v)
VERTICAL (adj) | approved | at 90 degrees to the horizon | -
VERTICALLY (adv) | approved | at 90 degrees to the horizon | -
VERY (adv) | approved | to a high degree | -
via (prep) | not approved | - | THROUGH (prep)
vibrate (v) | not approved | - | VIBRATION (n)
VIBRATION (n) | approved | regular movement from a center position | -
vicinity (n) | not approved | - | NEAR (prep), ADJACENT (adj)
VIEW (n) | approved | the ability to see something | -
view (v) | not approved | - | SEE (v), LOOK (v)
vigorous (adj) | not approved | - | FORCE (TN)
vigorously (adv) | not approved | - | FORCE (TN)
visible (adj) | not approved | - | SEE (v), VIEW (n)
VISUAL (adj) | approved | that you can see | -
VISUALLY (adv) | approved | with the eyes | -
vital (adj) | not approved | - | MANDATORY (adj)
VOICE (n) | approved | the sound you make when you speak | -
volatile (adj) | not approved | - | Use a different construction. Tell the reader what the risk or effect is.
VOLUME (n) | approved | the space that an object fills; how loud a sound is | -
WAIT (v) | approved | to stop doing something (1) while another thing occurs. | -
WALK (v) | approved | to move on foot from one location to a different location | -
WANT (v) | approved | to intend, to desire | -
WARM (adj) | approved | moderately hot | -
warm (v) | not approved | - | WARM (adj)
warn (v) | not approved | - | TELL (v), WARNING (TN)
wash (v) | not approved | - | CLEAN (v)
watch (v) | not approved | - | MONITOR (v), LOOK (v)
watertight (adj) | not approved | - | SEAL (v)
way (n) | not approved | - | PROCEDURE (n)
WE (pron) | approved | the manufacturer, company, or organization that releases the documentation pronoun for other meanings. | -
WEAK (adj) | approved | with small strength, | -
weakness (n) | not approved | - | WEAK (adj)
WEAR (v) | approved | to become damaged by friction | USE (v), PUT ON (v)
WEATHER (n) | approved | conditions of the atmosphere: temperature, moisture, winds, and clouds | -
weep (n) | not approved | - | LEAKAGE (n)
WEIGH (v) | approved | to measure the weight of something; to have a specified weight | -
WEIGHT (n) | approved | the force caused when gravity acts on the mass of an object | -
well (adv) | not approved | - | CORRECTLY (adv), GOOD (adj), FULLY (adv)
WET (adj) | approved | that has liquid on it, in it, | -
WHEN (conj) | approved | at the time that or during | -
whenever (conj) | not approved | - | WHEN (conj)
WHERE (conj) | approved | at, to, or in which location | -
whether (conj) | not approved | - | IF (conj)
WHICH (pron) | approved | the thing or things that | -
whichever (adj) | not approved | - | THAT (pron)
whichever (pron) | not approved | - | THAT (pron)
WHILE (conj) | approved | at the same time | -
whilst (conj) | not approved | - | WHILE (conj)
WHO (pron) | approved | the person or personnel that | -
whoever (pron) | not approved | - | WHO (pron)
whole (adj) | not approved | - | FULL (adj), ALL (adj)
wholly (adv) | not approved | - | FULLY (adv)
whose (pron) | not approved | - | Use a different construction.
WIDE (adj) | approved | that has a specified or | -
WIDTH (n) | approved | the smaller of two dimensions, the second- largest of three dimensions | -
WILL (v) | approved | auxiliary modal verb that shows simple future tense | -
WIND (v) | approved | to move around and around an object | -
windy (adj) | not approved | - | WIND (TN)
wipe (v) | not approved | - | CLEAN (v)
wire (v) | not approved | - | ATTACH (v) (WITH WIRE [TN])
wire-lock (v) | not approved | - | LOCK (v) (WITH LOCKWIRE [TN]), SAFETY (v) (WITH SAFETY WIRE [TN])
WITH (prep) | approved | function word that shows association or relationship, help or sharing, a means or instrument Refer to section 9, | -
withdraw (v) | not approved | - | REMOVE (v)
within (prep) | not approved | - | IN (prep), IN ... OR LESS, IN LESS THAN
WITHOUT (prep) | approved | not with | -
withstand (v) | not approved | - | RESISTANT (adj)
WORK (n) | approved | that which you do when you use physical strength, or mental power | -
work (v) | not approved | - | WORK (n)
would (v) | not approved | - | CAN (v)
wrap (v) | not approved | - | PUT (v), WIND (v)
WRITE (v) | approved | to record data or information as words, letters, or symbols | -
wrong (adj) | not approved | - | INCORRECT (adj)
wrongly (adv) | not approved | - | INCORRECTLY (adv)
YES (adv) | approved | function word that shows the positive answer to a question | -
yet (adv) | not approved | - | AT THIS TIME
yet (conj) | not approved | - | BUT (conj)
YOU (pron) | approved | the reader or the user | -
YOUR (adj) | approved | related to the reader or the user | -
yourself (pron) | not approved | - | YOU (pron)
zero (v) | not approved | - | ZERO (TN)
